station_eu_code;id_regione;id_provincia;id_comune;station_code;Regione;Provincia;Comune;nome_stazione;tipo_zona;tipo_stazione;TIPO;Lon;Lat;yy;n;sup25;sup15;media_yy;minimo;perc5;perc25;perc50;perc75;perc95;perc99.2;massimo;copertura;superamenti_ma;superamenti_ma10;superamenti_ma5;range_y;mappa_y;superamenti_d;superamenti_d15;range_d;range_d15;mappa_d;mappa_d15
IT2281A;19.0;84.0;19084001.0;1908498.0;Sicilia;Agrigento;Agrigento;AG - ASP;SUBURBANA;FONDO;SF;13.593963;37.307047;2022;351;6;25;9.0;1.0;4.0;6.0;8.0;11.0;18.0;35.0;51.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(3;18]";"(18; Inf]";2;3
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2022;357;8;66;11.0;1.0;5.0;8.0;10.0;14.0;20.0;34.0;44.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT0620A;19.0;89.0;19089017.0;1908910.0;Sicilia;Siracusa;Siracusa;SR - Via Gela;SUBURBANA;FONDO;SF;15.262506;37.098447;2014;203;8;95;15.0;0.0;7.0;11.0;14.0;18.0;24.0;40.0;46.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1346A;19.0;89.0;19089017.0;1908966.0;Sicilia;Siracusa;Siracusa;SR - Verga;URBANA;TRAFFICO;UT;15.285297;37.091295;2014;156;12;74;17.0;0.0;9.0;12.0;15.0;18.0;28.0;43.0;119.0;0;0.0;1.0;1.0;"(15;20]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1348A;19.0;89.0;19089017.0;1908965.0;Sicilia;Siracusa;Siracusa;SR - Pantheon;URBANA;TRAFFICO;UT;15.285331;37.067768;2014;124;6;37;14.0;6.0;8.0;10.0;13.0;16.0;22.0;41.0;43.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1566A;19.0;89.0;19089017.0;1908967.0;Sicilia;Siracusa;Siracusa;SR - Teracati;URBANA;TRAFFICO;UT;15.278581;37.075831;2014;162;61;148;24.0;8.0;14.0;19.0;23.0;27.0;35.0;47.0;50.0;0;0.0;1.0;1.0;"(20;25]";0;1;1;"(18; Inf]";"(18; Inf]";0;0
IT2317A;19.0;89.0;19089017.0;1908976.0;Sicilia;Siracusa;Siracusa;SR - ASP Pizzuta;SUBURBANA;FONDO;SF;15.268014;37.085751;2021;228;5;29;10.0;0.0;4.0;6.0;8.0;11.0;23.0;28.0;32.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT2274A;19.0;84.0;19084028.0;1908497.0;Sicilia;Agrigento;Porto Empedocle;Porto Empedocle;SUBURBANA;FONDO;SF;13.532537;37.291894;2021;317;20;62;12.0;0.0;5.0;7.0;10.0;13.0;27.0;34.0;38.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT0614A;19.0;89.0;19089021.0;1908963.0;Sicilia;Siracusa;Priolo Gargallo;Priolo;URBANA;FONDO;UF;15.190867;37.156119;2014;195;6;73;15.0;0.0;6.0;10.0;13.0;18.0;25.0;50.0;152.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT0614A;19.0;89.0;19089021.0;1908963.0;Sicilia;Siracusa;Priolo Gargallo;Priolo;URBANA;FONDO;UF;15.190867;37.156119;2015;276;4;79;13.0;3.0;5.0;9.0;12.0;16.0;22.0;26.0;33.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT0614A;19.0;89.0;19089021.0;1908963.0;Sicilia;Siracusa;Priolo Gargallo;Priolo;URBANA;FONDO;UF;15.190867;37.156119;2016;227;2;11;10.0;3.0;5.0;7.0;9.0;11.0;15.0;25.0;54.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(-Inf;3]";"(3;18]";0;0
